ReT,V
50.8219,-1.04655e-07
50.8239,-1.04253e-07
50.8259,-1.03851e-07
50.8279,-1.0345e-07
50.83,-1.03048e-07
50.832,-1.02646e-07
50.834,-1.02245e-07
50.836,-1.01844e-07
50.838,-1.01443e-07
50.84,-1.01042e-07
50.842,-1.00641e-07
50.844,-1.0024e-07
50.846,-9.98396e-08
50.848,-9.94391e-08
50.85,-9.90388e-08
50.852,-9.86386e-08
50.854,-9.82385e-08
50.856,-9.78385e-08
50.858,-9.74386e-08
50.86,-9.70389e-08
50.862,-9.66393e-08
50.864,-9.62398e-08
50.866,-9.58405e-08
50.868,-9.54412e-08
50.87,-9.50421e-08
50.872,-9.46431e-08
50.874,-9.42443e-08
50.876,-9.38455e-08
50.878,-9.34469e-08
50.88,-9.30484e-08
50.882,-9.26501e-08
50.884,-9.22518e-08
50.886,-9.18537e-08
50.888,-9.14557e-08
50.89,-9.10579e-08
50.892,-9.06601e-08
50.894,-9.02625e-08
50.896,-8.9865e-08
50.898,-8.94676e-08
50.9,-8.90704e-08
50.902,-8.86733e-08
50.904,-8.82763e-08
50.906,-8.78794e-08
50.908,-8.74826e-08
50.91,-8.7086e-08
50.912,-8.66895e-08
50.914,-8.62931e-08
50.916,-8.58968e-08
50.918,-8.55007e-08
50.92,-8.51047e-08
50.922,-8.47088e-08
50.924,-8.4313e-08
50.926,-8.39174e-08
50.928,-8.35219e-08
50.9301,-8.31265e-08
50.9321,-8.27312e-08
50.9341,-8.23361e-08
50.9361,-8.1941e-08
50.9381,-8.15461e-08
50.9401,-8.11514e-08
50.9421,-8.07567e-08
50.9441,-8.03622e-08
50.9461,-7.99678e-08
50.9481,-7.95735e-08
50.9501,-7.91793e-08
50.9521,-7.87853e-08
50.9541,-7.83913e-08
50.9561,-7.79975e-08
50.9581,-7.76039e-08
50.9601,-7.72103e-08
50.9621,-7.68169e-08
50.9641,-7.64236e-08
50.9661,-7.60304e-08
50.9681,-7.56373e-08
50.9701,-7.52444e-08
50.9721,-7.48516e-08
50.9741,-7.44589e-08
50.9761,-7.40663e-08
50.9781,-7.36739e-08
50.9801,-7.32816e-08
50.9821,-7.28894e-08
50.9841,-7.24973e-08
50.9861,-7.21053e-08
50.9881,-7.17135e-08
50.9901,-7.13218e-08
50.9921,-7.09302e-08
50.9941,-7.05387e-08
50.9961,-7.01474e-08
50.9981,-6.97561e-08
51.0001,-6.9365e-08
51.0021,-6.89741e-08
51.0041,-6.85832e-08
51.0061,-6.81925e-08
51.0081,-6.78018e-08
51.0101,-6.74114e-08
51.0121,-6.7021e-08
51.0141,-6.66307e-08
51.0161,-6.62406e-08
51.0181,-6.58506e-08
51.0201,-6.54607e-08
51.0221,-6.5071e-08
51.0241,-6.46813e-08
51.0261,-6.42918e-08
51.0281,-6.39024e-08
51.0302,-6.35131e-08
51.0322,-6.3124e-08
51.0342,-6.2735e-08
51.0362,-6.2346e-08
51.0382,-6.19573e-08
51.0402,-6.15686e-08
51.0422,-6.118e-08
51.0442,-6.07916e-08
51.0462,-6.04033e-08
51.0482,-6.00151e-08
51.0502,-5.96271e-08
51.0522,-5.92391e-08
51.0542,-5.88513e-08
51.0562,-5.84636e-08
51.0582,-5.8076e-08
51.0602,-5.76886e-08
51.0622,-5.73013e-08
51.0642,-5.6914e-08
51.0662,-5.6527e-08
51.0682,-5.614e-08
51.0702,-5.57531e-08
51.0722,-5.53664e-08
51.0742,-5.49798e-08
51.0762,-5.45933e-08
51.0782,-5.42069e-08
51.0802,-5.38207e-08
51.0822,-5.34346e-08
51.0842,-5.30486e-08
51.0862,-5.26627e-08
51.0882,-5.22769e-08
51.0902,-5.18913e-08
51.0922,-5.15058e-08
51.0942,-5.11204e-08
51.0962,-5.07351e-08
51.0982,-5.03499e-08
51.1002,-4.99649e-08
51.1022,-4.958e-08
51.1042,-4.91952e-08
51.1062,-4.88105e-08
51.1082,-4.84259e-08
51.1102,-4.80415e-08
51.1122,-4.76572e-08
51.1142,-4.7273e-08
51.1162,-4.68889e-08
51.1182,-4.6505e-08
51.1202,-4.61211e-08
51.1222,-4.57374e-08
51.1242,-4.53538e-08
51.1262,-4.49703e-08
51.1282,-4.4587e-08
51.1303,-4.42038e-08
51.1323,-4.38206e-08
51.1343,-4.34376e-08
51.1363,-4.30548e-08
51.1383,-4.2672e-08
51.1403,-4.22894e-08
51.1423,-4.19069e-08
51.1443,-4.15245e-08
51.1463,-4.11422e-08
51.1483,-4.076e-08
51.1503,-4.0378e-08
51.1523,-3.99961e-08
51.1543,-3.96143e-08
51.1563,-3.92326e-08
51.1583,-3.8851e-08
51.1603,-3.84696e-08
51.1623,-3.80883e-08
51.1643,-3.77071e-08
51.1663,-3.7326e-08
51.1683,-3.6945e-08
51.1703,-3.65642e-08
51.1723,-3.61835e-08
51.1743,-3.58029e-08
51.1763,-3.54224e-08
51.1783,-3.5042e-08
51.1803,-3.46618e-08
51.1823,-3.42816e-08
51.1843,-3.39016e-08
51.1863,-3.35217e-08
51.1883,-3.3142e-08
51.1903,-3.27623e-08
51.1923,-3.23828e-08
51.1943,-3.20034e-08
51.1963,-3.16241e-08
51.1983,-3.12449e-08
51.2003,-3.08659e-08
51.2023,-3.04869e-08
51.2043,-3.01081e-08
51.2063,-2.97294e-08
51.2083,-2.93508e-08
51.2103,-2.89724e-08
51.2123,-2.8594e-08
51.2143,-2.82158e-08
51.2163,-2.78377e-08
51.2183,-2.74597e-08
51.2203,-2.70818e-08
51.2223,-2.67041e-08
51.2243,-2.63264e-08
51.2263,-2.59489e-08
51.2283,-2.55715e-08
51.2304,-2.51943e-08
51.2324,-2.48171e-08
51.2344,-2.44401e-08
51.2364,-2.40631e-08
51.2384,-2.36863e-08
51.2404,-2.33096e-08
51.2424,-2.29331e-08
51.2444,-2.25566e-08
51.2464,-2.21803e-08
51.2484,-2.18041e-08
51.2504,-2.1428e-08
51.2524,-2.1052e-08
51.2544,-2.06761e-08
51.2564,-2.03004e-08
51.2584,-1.99248e-08
51.2604,-1.95493e-08
51.2624,-1.91739e-08
51.2644,-1.87986e-08
51.2664,-1.84235e-08
51.2684,-1.80484e-08
51.2704,-1.76735e-08
51.2724,-1.72987e-08
51.2744,-1.6924e-08
51.2764,-1.65495e-08
51.2784,-1.6175e-08
51.2804,-1.58007e-08
51.2824,-1.54265e-08
51.2844,-1.50524e-08
51.2864,-1.46784e-08
51.2884,-1.43046e-08
51.2904,-1.39308e-08
51.2924,-1.35572e-08
51.2944,-1.31837e-08
51.2964,-1.28103e-08
51.2984,-1.2437e-08
51.3004,-1.20639e-08
51.3024,-1.16908e-08
51.3044,-1.13179e-08
51.3064,-1.09451e-08
51.3084,-1.05724e-08
51.3104,-1.01999e-08
51.3124,-9.82741e-09
51.3144,-9.45508e-09
51.3164,-9.08286e-09
51.3184,-8.71076e-09
51.3204,-8.33878e-09
51.3224,-7.96691e-09
51.3244,-7.59516e-09
51.3264,-7.22353e-09
51.3284,-6.85201e-09
51.3305,-6.48061e-09
51.3325,-6.10933e-09
51.3345,-5.73817e-09
51.3365,-5.36712e-09
51.3385,-4.99618e-09
51.3405,-4.62537e-09
51.3425,-4.25467e-09
51.3445,-3.88409e-09
51.3465,-3.51362e-09
51.3485,-3.14327e-09
51.3505,-2.77304e-09
51.3525,-2.40292e-09
51.3545,-2.03292e-09
51.3565,-1.66304e-09
51.3585,-1.29327e-09
51.3605,-9.23619e-10
51.3625,-5.54084e-10
51.3645,-1.84666e-10
51.3665,1.84637e-10
51.3685,5.53823e-10
51.3705,9.22893e-10
51.3725,1.29185e-09
51.3745,1.66069e-09
51.3765,2.02941e-09
51.3785,2.39801e-09
51.3805,2.7665e-09
51.3825,3.13488e-09
51.3845,3.50313e-09
51.3865,3.87128e-09
51.3885,4.2393e-09
51.3905,4.60721e-09
51.3925,4.97501e-09
51.3945,5.34269e-09
51.3965,5.71025e-09
51.3985,6.0777e-09
51.4005,6.44503e-09
51.4025,6.81224e-09
51.4045,7.17934e-09
51.4065,7.54633e-09
51.4085,7.9132e-09
51.4105,8.27995e-09
51.4125,8.64659e-09
51.4145,9.01311e-09
51.4165,9.37952e-09
51.4185,9.74581e-09
51.4205,1.0112e-08
51.4225,1.0478e-08
51.4245,1.0844e-08
51.4265,1.12098e-08
51.4285,1.15755e-08
51.4306,1.19411e-08
51.4326,1.23066e-08
51.4346,1.2672e-08
51.4366,1.30373e-08
51.4386,1.34024e-08
51.4406,1.37674e-08
51.4426,1.41323e-08
51.4446,1.44971e-08
51.4466,1.48618e-08
51.4486,1.52264e-08
51.4506,1.55908e-08
51.4526,1.59551e-08
51.4546,1.63194e-08
51.4566,1.66835e-08
51.4586,1.70475e-08
51.4606,1.74113e-08
51.4626,1.77751e-08
51.4646,1.81387e-08
51.4666,1.85023e-08
51.4686,1.88657e-08
51.4706,1.9229e-08
51.4726,1.95922e-08
51.4746,1.99553e-08
51.4766,2.03182e-08
51.4786,2.06811e-08
51.4806,2.10438e-08
51.4826,2.14064e-08
51.4846,2.17689e-08
51.4866,2.21313e-08
51.4886,2.24936e-08
51.4906,2.28557e-08
51.4926,2.32178e-08
51.4946,2.35797e-08
51.4966,2.39415e-08
51.4986,2.43032e-08
51.5006,2.46648e-08
51.5026,2.50263e-08
51.5046,2.53876e-08
51.5066,2.57489e-08
51.5086,2.611e-08
51.5106,2.6471e-08
51.5126,2.68319e-08
51.5146,2.71927e-08
51.5166,2.75534e-08
51.5186,2.7914e-08
51.5206,2.82744e-08
51.5226,2.86347e-08
51.5246,2.8995e-08
51.5266,2.93551e-08
51.5286,2.97151e-08
51.5307,3.00749e-08
51.5327,3.04347e-08
51.5347,3.07944e-08
51.5367,3.11539e-08
51.5387,3.15133e-08
51.5407,3.18726e-08
51.5427,3.22318e-08
51.5447,3.25909e-08
51.5467,3.29499e-08
51.5487,3.33087e-08
51.5507,3.36675e-08
51.5527,3.40261e-08
51.5547,3.43846e-08
51.5567,3.4743e-08
51.5587,3.51013e-08
51.5607,3.54595e-08
51.5627,3.58176e-08
51.5647,3.61755e-08
51.5667,3.65334e-08
51.5687,3.68911e-08
51.5707,3.72487e-08
51.5727,3.76062e-08
51.5747,3.79636e-08
51.5767,3.83209e-08
51.5787,3.8678e-08
51.5807,3.90351e-08
51.5827,3.9392e-08
51.5847,3.97488e-08
51.5867,4.01055e-08
51.5887,4.04621e-08
51.5907,4.08186e-08
51.5927,4.1175e-08
51.5947,4.15312e-08
51.5967,4.18874e-08
51.5987,4.22434e-08
51.6007,4.25993e-08
51.6027,4.29551e-08
51.6047,4.33108e-08
51.6067,4.36664e-08
51.6087,4.40219e-08
51.6107,4.43772e-08
51.6127,4.47325e-08
51.6147,4.50876e-08
51.6167,4.54426e-08
51.6187,4.57975e-08
51.6207,4.61523e-08
51.6227,4.6507e-08
51.6247,4.68616e-08
51.6267,4.72161e-08
51.6287,4.75704e-08
51.6308,4.79246e-08
51.6328,4.82788e-08
51.6348,4.86328e-08
51.6368,4.89867e-08
51.6388,4.93405e-08
51.6408,4.96941e-08
51.6428,5.00477e-08
51.6448,5.04011e-08
51.6468,5.07545e-08
51.6488,5.11077e-08
51.6508,5.14608e-08
51.6528,5.18138e-08
51.6548,5.21667e-08
51.6568,5.25195e-08
51.6588,5.28722e-08
51.6608,5.32247e-08
51.6628,5.35772e-08
51.6648,5.39295e-08
51.6668,5.42817e-08
51.6688,5.46338e-08
51.6708,5.49858e-08
51.6728,5.53377e-08
51.6748,5.56895e-08
51.6768,5.60412e-08
51.6788,5.63927e-08
51.6808,5.67442e-08
51.6828,5.70955e-08
51.6848,5.74467e-08
51.6868,5.77978e-08
51.6888,5.81488e-08
51.6908,5.84997e-08
51.6928,5.88505e-08
51.6948,5.92011e-08
51.6968,5.95517e-08
51.6988,5.99021e-08
51.7008,6.02525e-08
51.7028,6.06027e-08
51.7048,6.09528e-08
51.7068,6.13028e-08
51.7088,6.16527e-08
51.7108,6.20024e-08
51.7128,6.23521e-08
51.7148,6.27016e-08
51.7168,6.30511e-08
51.7188,6.34004e-08
51.7208,6.37496e-08
51.7228,6.40987e-08
51.7248,6.44477e-08
51.7268,6.47966e-08
51.7288,6.51454e-08
51.7309,6.54941e-08
51.7329,6.58426e-08
51.7349,6.61911e-08
51.7369,6.65394e-08
51.7389,6.68876e-08
51.7409,6.72358e-08
51.7429,6.75838e-08
51.7449,6.79317e-08
51.7469,6.82794e-08
51.7489,6.86271e-08
51.7509,6.89747e-08
51.7529,6.93221e-08
51.7549,6.96695e-08
51.7569,7.00167e-08
51.7589,7.03638e-08
51.7609,7.07108e-08
51.7629,7.10577e-08
51.7649,7.14045e-08
51.7669,7.17512e-08
51.7689,7.20978e-08
51.7709,7.24442e-08
51.7729,7.27906e-08
51.7749,7.31368e-08
51.7769,7.34829e-08
51.7789,7.3829e-08
51.7809,7.41749e-08
51.7829,7.45207e-08
51.7849,7.48664e-08
51.7869,7.5212e-08
51.7889,7.55574e-08
51.7909,7.59028e-08
51.7929,7.6248e-08
51.7949,7.65932e-08
51.7969,7.69382e-08
51.7989,7.72831e-08
51.8009,7.76279e-08
51.8029,7.79727e-08
51.8049,7.83172e-08
51.8069,7.86617e-08
51.8089,7.90061e-08
51.8109,7.93504e-08
51.8129,7.96945e-08
51.8149,8.00386e-08
51.8169,8.03825e-08
51.8189,8.07263e-08
51.8209,8.10701e-08
51.8229,8.14137e-08
51.8249,8.17572e-08
51.8269,8.21006e-08
51.8289,8.24439e-08
51.831,8.2787e-08
51.833,8.31301e-08
51.835,8.3473e-08
51.837,8.38159e-08
51.839,8.41586e-08
51.841,8.45013e-08
51.843,8.48438e-08
51.845,8.51862e-08
51.847,8.55285e-08
51.849,8.58707e-08
51.851,8.62128e-08
51.853,8.65547e-08
51.855,8.68966e-08
51.857,8.72384e-08
51.859,8.758e-08
51.861,8.79215e-08
51.863,8.8263e-08
51.865,8.86043e-08
51.867,8.89455e-08
51.869,8.92866e-08
51.871,8.96276e-08
51.873,8.99685e-08
51.875,9.03093e-08
51.877,9.065e-08
51.879,9.09905e-08
51.881,9.1331e-08
51.883,9.16713e-08
51.885,9.20116e-08
51.887,9.23517e-08
51.889,9.26917e-08
51.891,9.30316e-08
51.893,9.33714e-08
51.895,9.37111e-08
51.897,9.40507e-08
51.899,9.43902e-08
51.901,9.47296e-08
51.903,9.50688e-08
51.905,9.5408e-08
51.907,9.5747e-08
51.909,9.6086e-08
51.911,9.64248e-08
